date,log_return
1991-01-03,0.010039469603839836
1991-01-04,0.00993967966217474
1991-01-07,0.004705891037412714
1991-01-08,0.0046838493124264375
1991-01-09,0.004962043111062258
1991-01-10,0.0047136370989805665
1991-01-11,0.004691522921733012
1991-01-14,0.0005199242513230109
1991-01-15,0.0005196540705635927
1991-01-16,-0.0037177528136177226
1991-01-17,7.449067007802878e-05
1991-01-18,-7.449067007792189e-05
1991-01-21,0.0
1991-01-22,-0.0038811811669982113
1991-01-23,-0.004121554037844375
1991-01-24,-0.004214017824545806
1991-01-25,-0.004231850946366385
1991-01-28,-0.004478015907711052
1991-01-29,-0.0038870518817094375
1991-01-30,-0.0039022200326025037
1991-01-31,-0.0036096963276213106
1991-02-01,-0.0035455563580012997
1991-02-04,-0.0035581720708727903
1991-02-05,-0.003648647451082225
1991-02-06,0.004345808484780134
1991-02-07,0.005020672501346786
1991-02-08,0.0045355037967256765
1991-02-11,0.004515025844918343
1991-02-12,0.0028972267902373115
1991-02-13,0.0043301621197946085
1991-02-14,0.0046133566412441
1991-02-19,0.004517059551238429
1991-02-20,0.004047981539555721
1991-02-21,0.0045530961284526465
1991-02-22,0.004384179416932172
1991-02-25,-0.0034909234397170366
1991-02-26,-0.0035031526900183713
1991-02-27,-0.0034405419129707026
1991-02-28,-0.00345242012085538
1991-03-01,-0.00361527847261739
1991-03-04,-0.004082872751724102
1991-03-05,-0.0040235393054331055
1991-03-06,-0.003963419822484923
1991-03-07,-0.004055869344134926
1991-03-08,-0.003995395249617818
1991-03-11,-0.004475316111432271
1991-03-12,-0.0041847550220676984
1991-03-13,-0.02055619219862574
1991-03-14,-0.004130596070740333
1991-03-15,-0.003668265676394254
1991-03-18,-0.0036817714072764395
1991-03-19,-0.003936854801498834
1991-03-20,-0.00451832300073429
1991-03-21,-0.004376374599798777
1991-03-22,-0.0040693471960819546
1991-03-25,-0.00408597446786479
1991-03-26,-0.004102738174713398
1991-03-27,-0.004119640002825058
1991-03-28,-0.004219590093987145
1991-03-29,-0.00348837563045412
1991-04-01,0.004482823379598675
1991-04-02,0.003967931138124611
1991-04-03,0.00411658740404495
1991-04-04,8.215914230486266e-05
1991-04-05,-0.001479898321561145
1991-04-08,-0.003709355940934299
1991-04-09,-0.003888962743434217
1991-04-10,-0.003820920007016159
1991-04-11,-0.004336954254077308
1991-04-12,-0.0036005900318370862
1991-04-15,-0.003697793943761297
1991-04-16,-0.003627012537600902
1991-04-17,-0.0037250297052227287
1991-04-18,-0.0038240964384035057
1991-04-19,-0.003155249281236699
1991-04-22,-0.003850931120726603
1991-04-23,-0.003779748508188003
1991-04-24,-0.0034485765705888245
1991-04-25,-0.003720532087542791
1991-04-26,0.0017322020613956628
1991-04-29,-0.007034026657379936
1991-04-30,-0.007083854888405044
1991-05-02,-0.006869247618883047
1991-05-03,-0.006649844959660782
1991-05-06,-0.007142249806082175
1991-05-07,-0.007103388228420012
1991-05-08,-0.007154207557382233
1991-05-09,-0.006748156193239133
1991-05-10,-0.0069782672306585945
1991-05-13,-0.00637798529392662
1991-05-14,-0.006045686460568858
1991-05-15,-0.005800914470563385
1991-05-16,-0.007535120892903258
1991-05-17,0.009222726768772373
1991-05-20,0.009973517914788609
1991-05-21,0.0091400719393982
1991-05-22,-0.005159875080321472
1991-05-23,0.007638191094788595
1991-05-24,0.009125816207645706
1991-05-27,0.005255063284930073
1991-05-28,0.009175201544098777
1991-05-29,0.009535339368725361
1991-05-30,0.009445274792190136
1991-05-31,0.008834520613120123
1991-06-03,0.009878763180513988
1991-06-04,0.00986751324438956
1991-06-05,0.00892521543792269
1991-06-06,0.009936087133914856
1991-06-07,0.009340406493922378
1991-06-10,0.00991170252059647
1991-06-11,0.009977184497148153
1991-06-12,0.0098786228449239
1991-06-13,0.009861775655099565
1991-06-14,-0.006483394063472399
1991-06-17,0.009908191326007143
1991-06-18,0.00996843697630531
1991-06-19,0.009870047225879329
1991-06-20,0.009927949379470537
1991-06-21,0.009906773800873453
1991-06-24,0.009960923328122559
1991-06-25,0.009937595897925885
1991-06-26,0.00998815697834217
1991-06-27,0.010036243934882774
1991-06-28,0.010009215983199435
1991-07-01,-0.005174750077377422
1991-07-02,-0.006524710658772705
1991-07-03,-0.0050879437268127195
1991-07-04,0.010003761249293934
1991-07-05,-0.0049158175224811515
1991-07-08,-0.00501402023759045
1991-07-09,-0.004742154707774367
1991-07-10,-0.004839379582033714
1991-07-11,-0.0045629730963565
1991-07-12,-0.004357960161826627
1991-07-15,0.002556969130223863
1991-07-16,0.009939919663221192
1991-07-17,0.009915724280198338
1991-07-18,0.009964182374338597
1991-07-19,-0.003432288760411701
1991-07-22,0.009972059198157154
1991-07-23,0.00951495681373406
1991-07-24,0.009212047863986729
1991-07-25,-0.0034891622253372433
1991-07-26,0.003346985499427803
1991-07-29,0.006095418971657646
1991-07-30,0.006128721941373326
1991-07-31,0.009853673494043274
1991-08-01,0.009964101259188746
1991-08-02,0.009865796656990153
1991-08-05,0.009971930816449067
1991-08-06,0.009873472424684672
1991-08-07,0.009975476748995332
1991-08-08,0.009811424309529288
1991-08-09,0.00971609482328657
1991-08-12,0.009301190940727204
1991-08-13,0.009788632588143668
1991-08-14,0.009882880565422815
1991-08-15,0.009911008238259106
1991-08-16,0.008638691428371946
1991-08-19,0.00991356907560944
1991-08-20,0.009937591308012195
1991-08-21,0.009959941086144303
1991-08-22,0.009980659571879989
1991-08-23,0.009764257829568858
1991-08-26,0.009961408985779843
1991-08-27,0.00974768379696243
1991-08-28,0.009939468803767918
1991-08-29,0.009898254772266269
1991-08-30,0.00996938612635124
1991-09-02,0.009981959363553831
1991-09-03,0.009663511518260004
1991-09-04,0.009407715832821446
1991-09-05,0.0098592347923089
1991-09-06,0.00992311089912559
1991-09-09,0.009984150913540109
1991-09-10,-0.004820307556291478
1991-09-11,-0.005911347263057237
1991-09-12,-0.005355625483214932
1991-09-13,0.008395546759731233
1991-09-16,0.009908678235466511
